id,drought_stress_factor_1_to_5,growth_scenario,market_gravity
56_0,2,moderate_growth,0
56_1,2,moderate_growth,0
56_2,2,moderate_growth,0
56_3,2,moderate_growth,0
1_0,1,moderate_growth,25
1_1,3,moderate_growth,25
1_2,1,moderate_growth,25
4_0,1,moderate_growth,25
4_1,1,moderate_growth,25
4_10,4,moderate_growth,25
4_11,4,moderate_growth,25
4_12,5,moderate_growth,25
4_13,5,moderate_growth,25
4_2,1,moderate_growth,25
4_3,1,moderate_growth,25
4_4,1,moderate_growth,25
4_5,1,moderate_growth,25
4_6,1,moderate_growth,25
4_7,1,moderate_growth,25
4_8,4,moderate_growth,25
4_9,4,moderate_growth,25
6_0,2,moderate_growth,25
6_1,2,moderate_growth,25
6_10,3,moderate_growth,25
6_11,3,moderate_growth,25
6_12,3,moderate_growth,25
6_13,2,moderate_growth,25
6_14,2,moderate_growth,25
6_15,2,moderate_growth,25
6_16,3,moderate_growth,25
6_17,3,moderate_growth,25
6_18,2,moderate_growth,25
6_19,3,moderate_growth,25
6_2,2,moderate_growth,25
6_20,3,moderate_growth,25
6_3,2,moderate_growth,25
6_4,3,moderate_growth,25
6_5,3,moderate_growth,25
6_6,3,moderate_growth,25
6_7,3,moderate_growth,25
6_8,2,moderate_growth,25
6_9,3,moderate_growth,25
8_0,5,moderate_growth,25
8_1,5,moderate_growth,25
8_2,5,moderate_growth,25
12_0,5,moderate_growth,25
12_1,5,moderate_growth,25
12_2,2,moderate_growth,25
13_0,1,moderate_growth,25
13_1,1,moderate_growth,25
13_10,3,moderate_growth,25
13_11,3,moderate_growth,25
13_12,3,moderate_growth,25
13_13,3,moderate_growth,25
13_2,4,moderate_growth,25
13_3,4,moderate_growth,25
13_4,4,moderate_growth,25
13_5,3,moderate_growth,25
13_6,3,moderate_growth,25
13_7,3,moderate_growth,25
13_8,3,moderate_growth,25
13_9,3,moderate_growth,25
17_0,5,moderate_growth,25
17_1,5,moderate_growth,25
17_10,4,moderate_growth,25
17_11,4,moderate_growth,25
17_12,4,moderate_growth,25
17_13,4,moderate_growth,25
17_14,4,moderate_growth,25
17_15,4,moderate_growth,25
17_2,5,moderate_growth,25
17_3,5,moderate_growth,25
17_4,5,moderate_growth,25
17_5,4,moderate_growth,25
17_6,4,moderate_growth,25
17_7,4,moderate_growth,25
17_8,4,moderate_growth,25
17_9,4,moderate_growth,25
19_0,1,moderate_growth,25
19_1,1,moderate_growth,25
19_10,1,moderate_growth,25
19_11,1,moderate_growth,25
19_12,1,moderate_growth,25
19_13,1,moderate_growth,25
19_2,1,moderate_growth,25
19_3,1,moderate_growth,25
19_4,1,moderate_growth,25
19_5,1,moderate_growth,25
19_6,1,moderate_growth,25
19_7,1,moderate_growth,25
19_8,1,moderate_growth,25
19_9,1,moderate_growth,25
21_0,5,moderate_growth,25
21_1,5,moderate_growth,25
21_2,5,moderate_growth,25
25_0,3,moderate_growth,25
25_1,3,moderate_growth,25
26_0,1,moderate_growth,25
27_0,5,moderate_growth,25
29_0,1,moderate_growth,25
29_1,1,moderate_growth,25
30_0,2,moderate_growth,25
31_0,1,moderate_growth,25
31_1,2,moderate_growth,25
31_2,1,moderate_growth,25
31_3,1,moderate_growth,25
31_4,2,moderate_growth,25
31_5,2,moderate_growth,25
31_6,2,moderate_growth,25
31_7,2,moderate_growth,25
32_0,1,moderate_growth,25
32_1,1,moderate_growth,25
32_2,1,moderate_growth,25
32_3,4,moderate_growth,25
32_4,4,moderate_growth,25
32_5,4,moderate_growth,25
32_6,1,moderate_growth,25
34_0,5,moderate_growth,25
34_1,5,moderate_growth,25
34_2,5,moderate_growth,25
34_3,5,moderate_growth,25
34_4,5,moderate_growth,25
34_5,5,moderate_growth,25
34_6,1,moderate_growth,25
34_7,3,moderate_growth,25
34_8,5,moderate_growth,25
36_0,5,moderate_growth,25
36_1,5,moderate_growth,25
36_2,1,moderate_growth,25
36_3,1,moderate_growth,25
36_4,5,moderate_growth,25
36_5,1,moderate_growth,25
36_6,5,moderate_growth,25
36_7,5,moderate_growth,25
36_8,1,moderate_growth,25
37_0,5,moderate_growth,25
37_1,5,moderate_growth,25
37_2,5,moderate_growth,25
37_3,5,moderate_growth,25
37_4,5,moderate_growth,25
37_5,5,moderate_growth,25
38_0,1,moderate_growth,25
38_1,1,moderate_growth,25
38_2,1,moderate_growth,25
38_3,2,moderate_growth,25
38_4,2,moderate_growth,25
38_5,1,moderate_growth,25
38_6,1,moderate_growth,25
38_7,1,moderate_growth,25
39_0,3,moderate_growth,25
39_1,3,moderate_growth,25
39_2,1,moderate_growth,25
39_3,1,moderate_growth,25
39_4,1,moderate_growth,25
40_0,2,moderate_growth,25
40_1,2,moderate_growth,25
41_0,1,moderate_growth,25
41_1,1,moderate_growth,25
41_10,1,moderate_growth,25
41_11,1,moderate_growth,25
41_12,3,moderate_growth,25
41_13,3,moderate_growth,25
41_2,1,moderate_growth,25
41_3,3,moderate_growth,25
41_4,3,moderate_growth,25
41_5,1,moderate_growth,25
41_6,3,moderate_growth,25
41_7,1,moderate_growth,25
41_8,1,moderate_growth,25
41_9,3,moderate_growth,25
42_0,4,moderate_growth,25
42_1,4,moderate_growth,25
42_2,4,moderate_growth,25
42_3,4,moderate_growth,25
42_4,4,moderate_growth,25
42_5,4,moderate_growth,25
42_6,4,moderate_growth,25
42_7,4,moderate_growth,25
42_8,4,moderate_growth,25
42_9,4,moderate_growth,25
45_0,3,moderate_growth,25
45_1,4,moderate_growth,25
45_2,4,moderate_growth,25
45_3,4,moderate_growth,25
47_0,2,moderate_growth,25
47_1,2,moderate_growth,25
47_2,2,moderate_growth,25
48_0,4,moderate_growth,25
48_1,4,moderate_growth,25
48_10,4,moderate_growth,25
48_11,4,moderate_growth,25
48_12,4,moderate_growth,25
48_13,4,moderate_growth,25
48_14,4,moderate_growth,25
48_15,4,moderate_growth,25
48_16,4,moderate_growth,25
48_17,4,moderate_growth,25
48_18,4,moderate_growth,25
48_19,4,moderate_growth,25
48_2,4,moderate_growth,25
48_20,4,moderate_growth,25
48_21,4,moderate_growth,25
48_22,4,moderate_growth,25
48_23,4,moderate_growth,25
48_24,4,moderate_growth,25
48_25,4,moderate_growth,25
48_26,4,moderate_growth,25
48_27,4,moderate_growth,25
48_28,4,moderate_growth,25
48_29,4,moderate_growth,25
48_3,4,moderate_growth,25
48_30,4,moderate_growth,25
48_31,4,moderate_growth,25
48_32,4,moderate_growth,25
48_33,4,moderate_growth,25
48_34,4,moderate_growth,25
48_35,4,moderate_growth,25
48_36,4,moderate_growth,25
48_37,4,moderate_growth,25
48_38,4,moderate_growth,25
48_39,4,moderate_growth,25
48_4,4,moderate_growth,25
48_40,4,moderate_growth,25
48_41,4,moderate_growth,25
48_42,4,moderate_growth,25
48_43,4,moderate_growth,25
48_44,4,moderate_growth,25
48_45,4,moderate_growth,25
48_46,4,moderate_growth,25
48_47,4,moderate_growth,25
48_48,4,moderate_growth,25
48_5,4,moderate_growth,25
48_6,4,moderate_growth,25
48_7,4,moderate_growth,25
48_8,4,moderate_growth,25
48_9,4,moderate_growth,25
49_0,3,moderate_growth,25
49_1,3,moderate_growth,25
49_2,3,moderate_growth,25
49_3,3,moderate_growth,25
49_4,3,moderate_growth,25
51_0,4,moderate_growth,25
51_1,4,moderate_growth,25
51_10,4,moderate_growth,25
51_11,4,moderate_growth,25
51_12,4,moderate_growth,25
51_13,4,moderate_growth,25
51_14,3,moderate_growth,25
51_15,4,moderate_growth,25
51_16,4,moderate_growth,25
51_17,4,moderate_growth,25
51_18,4,moderate_growth,25
51_19,4,moderate_growth,25
51_2,4,moderate_growth,25
51_20,4,moderate_growth,25
51_21,3,moderate_growth,25
51_22,3,moderate_growth,25
51_23,1,moderate_growth,25
51_24,1,moderate_growth,25
51_25,3,moderate_growth,25
